entry,at,order
"The player ""Hairuo @ PueKWMxLF_"" quits the game with a stack of 2130.",2020-05-30T05:56:11.721Z,1.59082E+14
"The player ""DARWIN @ XbHNZgHNwg"" quits the game with a stack of 6160.",2020-05-30T05:56:11.721Z,1.59082E+14
"The player ""Dawrin @ 8tZJd0LYSy"" quits the game with a stack of 11850.",2020-05-30T05:56:11.721Z,1.59082E+14
"The player ""JX @ 2G9coVWBct"" quits the game with a stack of 25871.",2020-05-30T05:56:11.241Z,1.59082E+14
"The player ""JX @ 2G9coVWBct"" stand up with the stack of 25871.",2020-05-30T05:55:57.120Z,1.59082E+14
"The player ""DARWIN @ XbHNZgHNwg"" stand up with the stack of 6160.",2020-05-30T05:55:51.072Z,1.59082E+14
-- ending hand #120 --,2020-05-30T05:55:51.072Z,1.59082E+14
"""JX @ 2G9coVWBct"" gained 20",2020-05-30T05:55:51.072Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" posts a big blind of 20",2020-05-30T05:55:47.252Z,1.59082E+14
"""JX @ 2G9coVWBct"" posts a small blind of 10",2020-05-30T05:55:47.252Z,1.59082E+14
"Your hand is 2♣, J♠",2020-05-30T05:55:47.252Z,1.59082E+14
-- starting hand #120 (dead button) --,2020-05-30T05:55:47.252Z,1.59082E+14
"The player ""Dawrin @ 8tZJd0LYSy"" stand up with the stack of 11850.",2020-05-30T05:55:47.221Z,1.59082E+14
-- ending hand #119 --,2020-05-30T05:55:40.703Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" wins 60 with Pair, 2's (hand: 7♠, 10♠)",2020-05-30T05:55:40.703Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:55:39.787Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:55:37.877Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:55:36.924Z,1.59082E+14
"river: 2♣, A♠, 2♦, 4♣ [J♣]",2020-05-30T05:55:34.693Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:55:33.781Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:55:31.568Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:55:29.630Z,1.59082E+14
"turn: 2♣, A♠, 2♦ [4♣]",2020-05-30T05:55:27.937Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:55:27.029Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:55:26.070Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:55:25.117Z,1.59082E+14
"flop:  [2♣, A♠, 2♦]",2020-05-30T05:55:21.203Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:55:20.294Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 20",2020-05-30T05:55:17.879Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 20",2020-05-30T05:55:14.123Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" posts a big blind of 20",2020-05-30T05:55:02.985Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" posts a small blind of 10",2020-05-30T05:55:02.985Z,1.59082E+14
"Your hand is 7♠, 10♠",2020-05-30T05:55:02.985Z,1.59082E+14
-- starting hand #119 (dead button) --,2020-05-30T05:55:02.985Z,1.59082E+14
"The player ""ToeKnee @ 2e90LzkfW1"" quits the game with a stack of 0.",2020-05-30T05:55:02.985Z,1.59082E+14
"The player ""Han @ zkpZrelbNa"" quits the game with a stack of 0.",2020-05-30T05:55:02.985Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" shows a 8♠, K♥.",2020-05-30T05:54:57.710Z,1.59082E+14
-- ending hand #118 --,2020-05-30T05:54:55.430Z,1.59082E+14
"""JX @ 2G9coVWBct"" wins 6203 with Straight, 10 High (hand: 9♥, 5♥)",2020-05-30T05:54:55.430Z,1.59082E+14
"river: 8♣, 10♥, 6♠, Q♥ [7♣]",2020-05-30T05:54:52.422Z,1.59082E+14
"turn: 8♣, 10♥, 6♠ [Q♥]",2020-05-30T05:54:49.406Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" shows a 3♠, 3♦.",2020-05-30T05:54:46.378Z,1.59082E+14
"""JX @ 2G9coVWBct"" shows a 9♥, 5♥.",2020-05-30T05:54:46.378Z,1.59082E+14
"""Han @ zkpZrelbNa"" shows a A♦, J♣.",2020-05-30T05:54:46.378Z,1.59082E+14
"flop:  [8♣, 10♥, 6♠]",2020-05-30T05:54:46.378Z,1.59082E+14
