entry,at,order
"The player ""KK @ jJQa4wILEv"" quits the game with a stack of 6043.",2020-06-02T07:34:11.595Z,159108325160146
"The player ""JX @ Div4SB3AM1"" quits the game with a stack of 66305.",2020-06-02T07:34:11.595Z,159108325160146
"-- ending hand #232 --",2020-06-02T07:34:11.595Z,159108325160144
"""KK @ jJQa4wILEv"" gained 50",2020-06-02T07:34:11.595Z,159108325160138
"""JX @ Div4SB3AM1"" posts a big blind of 50",2020-06-02T07:34:10.617Z,159108325062953
"""KK @ jJQa4wILEv"" posts a small blind of 25",2020-06-02T07:34:10.617Z,159108325062951
"Your hand is 8♦, J♣",2020-06-02T07:34:10.617Z,159108325062946
"-- starting hand #232 (dealer: ""KK @ jJQa4wILEv"") --",2020-06-02T07:34:10.617Z,159108325062940
"""KK @ jJQa4wILEv"" shows a 8♦, A♦.",2020-06-02T07:34:04.427Z,159108324443345
"-- ending hand #231 --",2020-06-02T07:34:03.059Z,159108324306490
"""JX @ Div4SB3AM1"" wins 2600 with Two Pair, A's & 6's (hand: A♥, 6♠)",2020-06-02T07:34:03.059Z,159108324306485
"""KK @ jJQa4wILEv"" calls with 500",2020-06-02T07:34:02.149Z,159108324215496
"""JX @ Div4SB3AM1"" raises with 500",2020-06-02T07:34:00.349Z,159108324035480
"""KK @ jJQa4wILEv"" checks",2020-06-02T07:33:51.606Z,159108323161274
"river: 6♥, A♣, 5♥, 3♠ [2♣]",2020-06-02T07:33:48.605Z,159108322861159
"""KK @ jJQa4wILEv"" calls with 600",2020-06-02T07:33:47.694Z,159108322770036
"""JX @ Div4SB3AM1"" raises with 600",2020-06-02T07:33:45.392Z,159108322539807
"""KK @ jJQa4wILEv"" raises with 300",2020-06-02T07:33:38.490Z,159108321849582
"turn: 6♥, A♣, 5♥ [3♠]",2020-06-02T07:33:32.959Z,159108321296545
"""JX @ Div4SB3AM1"" checks",2020-06-02T07:33:32.048Z,159108321205533
"""KK @ jJQa4wILEv"" checks",2020-06-02T07:33:29.913Z,159108320991894
"flop:  [6♥, A♣, 5♥]",2020-06-02T07:33:26.703Z,159108320670936
"""JX @ Div4SB3AM1"" calls with 200",2020-06-02T07:33:25.795Z,159108320580072
"""KK @ jJQa4wILEv"" raises with 200",2020-06-02T07:33:23.830Z,159108320383616
"""JX @ Div4SB3AM1"" calls with 50",2020-06-02T07:33:16.460Z,159108319646643
"""KK @ jJQa4wILEv"" posts a big blind of 50",2020-06-02T07:33:14.776Z,159108319478280
"""JX @ Div4SB3AM1"" posts a small blind of 25",2020-06-02T07:33:14.776Z,159108319478279
"Your hand is A♥, 6♠",2020-06-02T07:33:14.776Z,159108319478272
"-- starting hand #231 (dead button) --",2020-06-02T07:33:14.776Z,159108319478268
"The player ""tony back @ OWsGxKwyjS"" quits the game with a stack of 13206.",2020-06-02T07:33:14.776Z,159108319478261
"""KK @ jJQa4wILEv"" shows a 10♠, J♦.",2020-06-02T07:33:11.067Z,159108319107371
"-- ending hand #230 --",2020-06-02T07:33:10.224Z,159108319023029
"""KK @ jJQa4wILEv"" gained 125",2020-06-02T07:33:10.224Z,159108319023024
"""JX @ Div4SB3AM1"" folds",2020-06-02T07:33:08.814Z,159108318882120
"""KK @ jJQa4wILEv"" raises and all in with 7193",2020-06-02T07:33:07.351Z,159108318735729
"turn: A♦, 9♣, Q♥ [8♣]",2020-06-02T07:33:01.573Z,159108318157935
"""JX @ Div4SB3AM1"" checks",2020-06-02T07:33:00.665Z,159108318067060
"""KK @ jJQa4wILEv"" checks",2020-06-02T07:32:58.633Z,159108317863922
"flop:  [A♦, 9♣, Q♥]",2020-06-02T07:32:53.101Z,159108317310668
"""KK @ jJQa4wILEv"" checks",2020-06-02T07:32:52.194Z,159108317219922
"""tony back @ OWsGxKwyjS"" folds",2020-06-02T07:32:50.742Z,159108317074845
"""JX @ Div4SB3AM1"" calls with 50",2020-06-02T07:32:33.732Z,159108315373877
"""KK @ jJQa4wILEv"" posts a big blind of 50",2020-06-02T07:32:22.433Z,159108314244010
"""tony back @ OWsGxKwyjS"" posts a small blind of 25",2020-06-02T07:32:22.433Z,159108314244008
"Your hand is 2♥, 7♦",2020-06-02T07:32:22.433Z,159108314244001
"-- starting hand #230 (dealer: ""JX @ Div4SB3AM1"") --",2020-06-02T07:32:22.433Z,159108314243999
"The player ""j4ff @ DzhdXhTz7D"" quits the game with a stack of 20968.",2020-06-02T07:32:22.433Z,159108314243994
"""KK @ jJQa4wILEv"" shows a A♥, 10♣.",2020-06-02T07:32:20.273Z,159108314027904
"-- ending hand #229 --",2020-06-02T07:32:14.903Z,159108313491217
"""JX @ Div4SB3AM1"" wins 450 with Pair, J's (hand: J♦, J♥)",2020-06-02T07:32:14.903Z,159108313491212
"""KK @ jJQa4wILEv"" checks",2020-06-02T07:32:13.991Z,159108313399770
"""JX @ Div4SB3AM1"" checks",2020-06-02T07:32:12.196Z,159108313220542
"river: 8♠, 4♠, 3♥, 10♠ [Q♣]",2020-06-02T07:32:10.144Z,159108313015051
"""KK @ jJQa4wILEv"" calls with 150",2020-06-02T07:32:09.229Z,159108312923765
"""JX @ Div4SB3AM1"" raises with 150",2020-06-02T07:32:07.518Z,159108312752426
"turn: 8♠, 4♠, 3♥ [10♠]",2020-06-02T07:32:02.142Z,159108312215091
"""KK @ jJQa4wILEv"" checks",2020-06-02T07:32:01.231Z,159108312123663
"""JX @ Div4SB3AM1"" checks",2020-06-02T07:31:59.680Z,159108311968707
"flop:  [8♠, 4♠, 3♥]",2020-06-02T07:31:56.618Z,159108311662446
"""JX @ Div4SB3AM1"" calls with 50",2020-06-02T07:31:55.709Z,159108311571562
"""KK @ jJQa4wILEv"" calls with 50",2020-06-02T07:31:52.413Z,159108311241954
"The player ""The Kai @ 1txO9KYpw5"" quits the game with a stack of 125978.",2020-06-02T07:31:50.456Z,159108311046278
"""tony back @ OWsGxKwyjS"" folds",2020-06-02T07:31:50.146Z,159108311015234
"The player ""j4ff @ DzhdXhTz7D"" sit back with the stack of 21018.",2020-06-02T07:31:42.650Z,159108310265690
"The player ""j4ff @ DzhdXhTz7D"" stand up with the stack of 21018.",2020-06-02T07:31:42.124Z,159108310213220
"The player ""j4ff @ DzhdXhTz7D"" sit back with the stack of 21018.",2020-06-02T07:31:41.371Z,159108310137574
"The player ""j4ff @ DzhdXhTz7D"" stand up with the stack of 21018.",2020-06-02T07:31:39.429Z,159108309943574
"""j4ff @ DzhdXhTz7D"" posts a big blind of 50",2020-06-02T07:31:30.138Z,159108309014466
"""JX @ Div4SB3AM1"" posts a small blind of 25",2020-06-02T07:31:30.138Z,159108309014464
"Your hand is J♦, J♥",2020-06-02T07:31:30.138Z,159108309014455
"-- starting hand #229 (dealer: ""The Kai @ 1txO9KYpw5"") --",2020-06-02T07:31:30.138Z,159108309014450
"The player ""Hy @ cMBxzvx1EZ"" quits the game with a stack of 0.",2020-06-02T07:31:30.138Z,159108309014445
"-- ending hand #228 --",2020-06-02T07:31:23.597Z,159108308360379
"""j4ff @ DzhdXhTz7D"" wins 5754 with Straight, 5 High (hand: A♥, 4♦)",2020-06-02T07:31:23.597Z,159108308360373
"river: 3♥, 5♠, 10♥, 8♠ [2♣]",2020-06-02T07:31:20.580Z,159108308058577
"""Hy @ cMBxzvx1EZ"" shows a A♠, Q♠.",2020-06-02T07:31:17.567Z,159108307757496
"""j4ff @ DzhdXhTz7D"" shows a A♥, 4♦.",2020-06-02T07:31:17.567Z,159108307757495
"turn: 3♥, 5♠, 10♥ [8♠]",2020-06-02T07:31:17.567Z,159108307757488
"""j4ff @ DzhdXhTz7D"" calls with 2577",2020-06-02T07:31:16.653Z,159108307666120
"""JX @ Div4SB3AM1"" folds",2020-06-02T07:31:13.017Z,159108307302423
"""The Kai @ 1txO9KYpw5"" folds",2020-06-02T07:31:11.553Z,159108307155936
"""Hy @ cMBxzvx1EZ"" raises and all in with 2577",2020-06-02T07:31:09.675Z,159108306968105
"""j4ff @ DzhdXhTz7D"" checks",2020-06-02T07:31:06.367Z,159108306637398
"""JX @ Div4SB3AM1"" checks",2020-06-02T07:31:04.084Z,159108306409022
"""The Kai @ 1txO9KYpw5"" checks",2020-06-02T07:30:59.809Z,159108305981618
"flop:  [3♥, 5♠, 10♥]",2020-06-02T07:30:56.732Z,159108305673874
